id,name,Eq,position,V_rate,P_rate,volt_n,node,P,Q,Ue,Ang,off,P_meas,Q_meas,Ue_meas,Ang_meas,P_max,P_min,Q_max,Q_min,pf,nd,bs,island,type,volt,base_value,Interval 1,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 2,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 3,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 4,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 5,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 6,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 7,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 8,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 9,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Unittype,bid1,bid10,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,m1,m10,m2,m3,m4,m5,m6,m7,m8,m9,发电占比,电厂,电量上限,电量下限,结束时段,计划单元,计划单元.1,起始时段
1,官地电厂.20kV.1#机组,0,0,0,666.67,500,国调.官地电厂.20.194,456.052,162.725,20.015,4.851,0,457,155.1,20.5,0,600,0,290.59,-290.59,1,2177,194,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2,官地电厂.20kV.2#机组,0,0,0,666.67,500,国调.官地电厂.20.195,537.818,160.446,19.969,5.949,0,539,152.9,20.5,0,600,0,290.59,-290.59,1,2179,195,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
3,官地电厂.20kV.3#机组,0,0,0,666.67,500,国调.官地电厂.20.196,522.95,168.715,20.012,5.736,0,524.1,161.4,20.5,0,600,0,290.59,-290.59,1,2181,196,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
4,官地电厂.20kV.4#机组,0,0,0,666.67,500,国调.官地电厂.20.197,528.594,173.756,20.031,5.803,0,529.8,166.1,20.5,0,600,0,290.59,-290.59,1,2183,197,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
5,向家坝电厂.20kV.1#机组,0,0,0,833.3,500,国调.向家坝.20.278,730.3,98.314,19.274,-9.961,0,730.91,84,19.77,0,750,0,83.33,-83.33,1,2355,278,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
6,向家坝电厂.20kV.2#机组,0,0,0,833.3,500,国调.向家坝.20.279,724.466,106.202,19.317,-10.07,0,724.72,91.69,19.79,0,750,0,83.33,-83.33,1,2357,279,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7,向家坝电厂.20kV.3#机组,0,0,0,833.3,500,国调.向家坝.20.280,715.439,77.879,19.188,-10.126,0,716.2,63.56,19.73,0,750,0,83.33,-83.33,1,2359,280,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
8,向家坝电厂.20kV.4#机组,0,0,0,833.3,500,国调.向家坝.20.281,718.631,119.981,19.387,-10.194,0,719.09,104.56,19.92,0,750,0,83.33,-83.33,1,2361,281,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
9,向家坝电厂.20kV.5#机组,0,0,0,833.3,500,国调.向家坝.20.282,718.367,106.094,19.333,-10.18,0,719.64,85.5,22.47,0,750,0,83.33,-83.33,1,2363,282,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
10,向家坝电厂.20kV.6#机组,0,0,0,833.3,500,国调.向家坝.20.283,732.623,115.765,19.368,-9.995,0,734.69,94.69,22.59,0,750,0,83.33,-83.33,1,2365,283,0,Unit,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
