Hour,Rr,Rs,R1,R3,LoadT,ReactiveLoadT,LoadTPercent,s_demand
1,210,0,0,0,4200,1623.47,0.69418467,688
2,198,0,0,0,3960,1530.7,0.646097632,872
3,174,0,0,0,3480,1345.16,0.768861759,1052
4,120,0,0,0,2400,927.7,0.638952858,1228
5,150,0,0,0,3000,1159.62,0.645184356,1400
6,180,0,0,0,3600,1391.54,0.634141609,1568
7,210,0,0,0,4200,1623.47,0.64553286,1732
8,234,0,0,0,4680,1809.01,0.687139737,1892
9,246,0,0,0,4920,1901.78,0.662220457,2048
10,264,0,0,0,5280,2040.93,0.784675928,2200
11,267,0,0,0,5340,2064.12,0.686041478,2348
12,252,0,0,0,5040,1948.16,0.636963264,2492
13,240,0,0,0,4800,1855.39,0.780976194,2632
14,228,0,0,0,4560,1762.62,0.795949676,2768
15,264,0,0,0,5280,2040.93,0.687773995,2900
16,270,0,0,0,5400,2087.31,0.622223845,3028
17,255,0,0,0,5100,1971.35,0.651612939,3152
18,267,0,0,0,5340,2064.12,0.681743969,3272
19,282,0,0,0,5640,2180.08,0.718979215,3388
20,294,0,0,0,5880,2272.85,0.65244235,3500
21,300,0,0,0,6000,2319.24,0.720568618,3608
22,270,0,0,0,5400,2087.31,0.742243156,3712
23,261,0,0,0,5220,2017.74,0.644349347,3812
24,246,0,0,0,4920,1901.78,0.62348353,3908
25,246,0,0,0,4920,1902.78,0.778005524,4000
26,246,0,0,0,4920,1903.78,0.791266981,4088
27,246,0,0,0,4920,1904.78,0.854500056,4172
28,246,0,0,0,4920,1905.78,0.904714971,4252
29,246,0,0,0,4920,1906.78,0.651309478,4328
30,246,0,0,0,4920,1907.78,0.757489341,4400
31,246,0,0,0,4920,1908.78,1.080608774,4468
32,246,0,0,0,4920,1909.78,0.617532167,4532
33,246,0,0,0,4920,1910.78,1.157312484,4592
34,246,0,0,0,4920,1911.78,1.038198518,4648
35,246,0,0,0,4920,1912.78,0.893165384,4700
36,246,0,0,0,4920,1913.78,0.947115037,4748
37,246,0,0,0,4920,1914.78,0.742370148,4792
38,246,0,0,0,4920,1915.78,0.875309297,4832
39,246,0,0,0,4920,1916.78,1.177853124,4868
40,246,0,0,0,4920,1917.78,0.928083431,4900
41,246,0,0,0,4920,1918.78,1.004227166,4928
42,246,0,0,0,4920,1919.78,0.946318877,4952
43,246,0,0,0,4920,1920.78,0.997779549,4972
44,246,0,0,0,4920,1921.78,1.024812018,4988
45,246,0,0,0,4920,1922.78,1.035827108,5000
46,246,0,0,0,4920,1923.78,0.979103043,5008
47,246,0,0,0,4920,1924.78,0.97348733,5012
48,246,0,0,0,4920,1925.78,1.097596401,5012
49,246,0,0,0,4920,1926.78,0.907547773,5008
50,246,0,0,0,4920,1927.78,1.077033602,5000
51,246,0,0,0,4920,1928.78,1.082657366,4988
52,246,0,0,0,4920,1929.78,1.059236775,4972
53,246,0,0,0,4920,1930.78,0.919742456,4952
54,246,0,0,0,4920,1931.78,0.952374237,4928
55,246,0,0,0,4920,1932.78,0.967071368,4900
56,246,0,0,0,4920,1933.78,1.03594559,4868
57,246,0,0,0,4920,1934.78,0.927310627,4832
58,246,0,0,0,4920,1935.78,1.0442455,4792
59,246,0,0,0,4920,1936.78,0.921352372,4748
60,246,0,0,0,4920,1937.78,1.03075147,4700
61,246,0,0,0,4920,1938.78,0.998834787,4648
62,246,0,0,0,4920,1939.78,1.055810345,4592
63,246,0,0,0,4920,1940.78,1.043007416,4532
64,246,0,0,0,4920,1941.78,1.080744112,4468
65,246,0,0,0,4920,1942.78,1.078184501,4400
66,246,0,0,0,4920,1943.78,0.966832611,4328
67,246,0,0,0,4920,1944.78,1.039749166,4252
68,246,0,0,0,4920,1945.78,0.939561965,4172
69,246,0,0,0,4920,1946.78,0.906108189,4088
70,246,0,0,0,4920,1947.78,1.048814852,4000
71,246,0,0,0,4920,1948.78,1.000004487,3908
72,246,0,0,0,4920,1949.78,0.995984428,3812
73,246,0,0,0,4920,1950.78,1.080944448,3712
74,246,0,0,0,4920,1951.78,1.02197333,3608
75,246,0,0,0,4920,1952.78,1.023533278,3500
76,246,0,0,0,4920,1953.78,1.071888461,3388
77,246,0,0,0,4920,1954.78,1.061097885,3272
78,246,0,0,0,4920,1955.78,1.015344303,3152
79,246,0,0,0,4920,1956.78,0.936584494,3028
80,246,0,0,0,4920,1957.78,0.947986402,2900
81,246,0,0,0,4920,1958.78,0.777302387,2768
82,246,0,0,0,4920,1959.78,0.60573483,2632
83,246,0,0,0,4920,1960.78,0.697980278,2492
84,246,0,0,0,4920,1961.78,0.633585429,2348
85,246,0,0,0,4920,1962.78,0.79573613,2200
86,246,0,0,0,4920,1963.78,0.742538894,2048
87,246,0,0,0,4920,1964.78,0.700094325,1892
88,246,0,0,0,4920,1965.78,0.694217675,1732
89,246,0,0,0,4920,1966.78,0.611923774,1568
90,246,0,0,0,4920,1967.78,0.736394381,1400
91,246,0,0,0,4920,1968.78,0.608486228,1228
92,246,0,0,0,4920,1969.78,0.614289093,1052
93,246,0,0,0,4920,1970.78,0.704329968,872
94,246,0,0,0,4920,1971.78,0.619346005,688
95,246,0,0,0,4920,1972.78,0.633585429,500
96,246,0,0,0,4920,1973.78,0.79573613,308
