,drop_min,TERMLEVEL,forecast_com,drop_max,level_min,alpha,level_max,initlevel,river,id
0,0,0,0,44.08008,0,1.84214,176.32032,88.16016,5,154021
1,0,0,0,32.98743,0,1.54633,131.94971,65.97485,5,154022
2,0,0,0,35.53169,0,1.61418,142.12678,71.06339,5,154023
3,0,0,0,21.74965,0,1.24666,86.9986,43.4993,5,154024
4,0,0,0,22.04009,0,1.2544,88.16037,44.08018,5,154025
5,0,0,0,24.00218,0,1.30672,96.00871,48.00435,5,154026
6,0,0,0,31.6239,0,1.50997,126.49561,63.24781,5,154027
7,0,0,0,38.58327,0,1.69555,154.33306,77.16653,5,154028
8,0,0,0,12.72635,0,1.00604,50.90539,25.45269,8,154029
9,0,0,0,33.90813,0,1.57088,135.63254,67.81627,5,154030
10,0,0,0,34.55204,0,1.58805,138.20817,69.10409,8,154031
11,0,0,0,30.06397,0,1.46837,120.25588,60.12794,5,154032
12,0,0,0,26.97988,0,1.38613,107.9195,53.95975,5,154033
13,0,0,0,42.68501,0,1.80493,170.74005,85.37002,5,154034
14,0,0,0,17.78517,0,1.14094,71.1407,35.57035,5,154035
15,0,0,0,46.51344,0,1.90703,186.05375,93.02688,5,154048
16,0,0,0,21.78796,0,1.24768,87.15184,43.57592,5,154054
17,0,0,0,37.6358,0,1.67029,150.54319,75.27159,5,154055
18,0,0,0,32.582,0,1.53552,130.32801,65.16401,5,154056
19,0,0,0,46.97634,0,1.91937,187.90537,93.95269,5,154057
20,0,0,0,26.68366,0,1.37823,106.73462,53.36731,5,154058
21,0,0,0,31.51339,0,1.50702,126.05357,63.02679,5,154090
22,0,0,0,39.27149,0,1.71391,157.08595,78.54297,5,154094
23,0,0,0,25.72338,0,1.35262,102.89352,51.44676,5,154096
24,0,0,0,20.2867,0,1.20765,81.14682,40.57341,5,154098
25,0,0,0,26.19567,0,1.36522,104.7827,52.39135,5,154125
26,0,0,0,18.88308,0,1.17022,75.53232,37.76616,5,154151
27,0,0,0,24.52883,0,1.32077,98.11534,49.05767,5,154152
28,0,0,0,25.01873,0,1.33383,100.0749,50.03745,5,154153
29,0,0,0,37.77084,0,1.67389,151.08337,75.54168,5,154154
30,0,0,0,35.65653,0,1.61751,142.6261,71.31305,5,154155
31,0,0,0,39.8879,0,1.73034,159.55161,79.77581,5,154157
32,0,0,0,39.28496,0,1.71427,157.13983,78.56992,5,154159
33,0,0,0,46.43744,0,1.905,185.74976,92.87488,5,154160
34,0,0,0,49.52165,0,1.98724,198.0866,99.0433,5,154162
35,0,0,0,44.2253,0,1.84601,176.90119,88.45059,5,154163
36,0,0,0,34.26354,0,1.58036,137.05415,68.52707,5,154164
37,0,0,0,41.30852,0,1.76823,165.23406,82.61703,8,154165
38,0,0,0,28.57996,0,1.4288,114.31982,57.15991,8,154166
39,0,0,0,44.96064,0,1.86562,179.84254,89.92127,8,154167
40,0,0,0,13.04239,0,1.01446,52.16954,26.08477,5,154168
41,0,0,0,40.50266,0,1.74674,162.01062,81.00531,5,154170
42,0,0,0,28.49222,0,1.42646,113.96889,56.98445,5,154172
43,0,0,0,46.33929,0,1.90238,185.35714,92.67857,5,154174
44,0,0,0,44.93373,0,1.8649,179.73494,89.86747,5,154175
45,0,0,0,27.48051,0,1.39948,109.92206,54.96103,5,154176
46,0,0,0,25.81312,0,1.35502,103.25247,51.62624,5,154177
47,0,0,0,20.4236,0,1.2113,81.69439,40.84719,5,154178
48,0,0,0,20.52129,0,1.2139,82.08514,41.04257,5,154179
49,0,0,0,20.38394,0,1.21024,81.53577,40.76789,5,154184
50,0,0,0,49.97719,0,1.99939,199.90874,99.95437,5,154186
51,0,0,0,47.98497,0,1.94627,191.93987,95.96993,5,154191
52,0,0,0,30.45085,0,1.47869,121.80339,60.9017,5,154192
53,0,0,0,31.28269,0,1.50087,125.13074,62.56537,5,154193
54,0,0,0,48.64459,0,1.96386,194.57835,97.28918,5,154194
55,0,0,0,25.0999,0,1.336,100.39959,50.1998,5,154195
56,0,0,0,21.55201,0,1.24139,86.20805,43.10403,8,154196
57,0,0,0,43.25613,0,1.82016,173.02451,86.51225,5,154197
58,0,0,0,45.79929,0,1.88798,183.19717,91.59859,8,154210
59,0,0,0,33.62413,0,1.56331,134.49654,67.24827,8,154212
60,0,0,0,28.60164,0,1.42938,114.40655,57.20327,8,154214
61,0,0,0,43.94374,0,1.8385,175.77494,87.88747,8,154215
62,0,0,0,38.11756,0,1.68313,152.47023,76.23511,8,154217
63,0,0,0,37.53279,0,1.66754,150.13118,75.06559,8,154218
64,0,0,0,28.62805,0,1.43008,114.51218,57.25609,3,154219
65,0,0,0,45.04732,0,1.86793,180.18926,90.09463,6,154220
66,0,0,0,40.88868,0,1.75703,163.55471,81.77736,8,154221
67,0,0,0,29.85689,0,1.46285,119.42756,59.71378,8,154235
68,0,0,0,47.14746,0,1.92393,188.58984,94.29492,8,154240
69,0,0,0,24.42206,0,1.31792,97.68823,48.84412,8,154242
70,0,0,0,46.13042,0,1.89681,184.52168,92.26084,8,154245
71,0,0,0,36.12533,0,1.63001,144.50131,72.25066,8,154248
72,0,0,0,28.31906,0,1.42184,113.27625,56.63812,8,154250
73,0,0,0,21.22328,0,1.23262,84.89311,42.44656,8,154251
74,0,0,0,46.65358,0,1.91076,186.61432,93.30716,8,154252
75,0,0,0,34.79863,0,1.59463,139.19451,69.59726,8,154253
76,0,0,0,39.11843,0,1.70982,156.4737,78.23685,8,154254
77,0,0,0,27.32074,0,1.39522,109.28296,54.64148,8,154255
78,0,0,0,48.09573,0,1.94922,192.38294,96.19147,8,154256
79,0,0,0,31.49585,0,1.50656,125.9834,62.9917,8,154259
80,0,0,0,14.86569,0,1.06309,59.46278,29.73139,8,154260
81,0,0,0,42.00998,0,1.78693,168.03994,84.01997,8,154262
82,0,0,0,26.52663,0,1.37404,106.10653,53.05326,8,154265
83,0,0,0,20.64422,0,1.21718,82.57689,41.28845,8,154268
84,0,0,0,36.2309,0,1.63282,144.92359,72.46179,8,154271
85,0,0,0,38.66584,0,1.69776,154.66337,77.33169,8,154274
86,0,0,0,27.42152,0,1.39791,109.68608,54.84304,8,154277
87,0,0,0,41.57869,0,1.77543,166.31477,83.15738,8,154280
88,0,0,0,36.28205,0,1.63419,145.12819,72.56409,8,154283
89,0,0,0,34.93901,0,1.59837,139.75605,69.87803,8,154286
90,0,0,0,38.86808,0,1.70315,155.47234,77.73617,8,154289
91,0,0,0,15.41076,0,1.07762,61.64303,30.82151,8,154290
92,0,0,0,14.66455,0,1.05772,58.65822,29.32911,8,154295
93,0,0,0,40.13394,0,1.73691,160.53577,80.26789,8,154298
94,0,0,0,38.1069,0,1.68285,152.42762,76.21381,8,154301
95,0,0,0,17.33904,0,1.12904,69.35615,34.67807,8,154304
96,0,0,0,30.57584,0,1.48202,122.30334,61.15167,8,154307
97,0,0,0,24.97375,0,1.33263,99.89499,49.94749,8,154310
98,0,0,0,48.67234,0,1.9646,194.68938,97.34469,8,154313
99,0,0,0,23.15455,0,1.28412,92.61821,46.30911,8,154316
100,0,0,0,48.98776,0,1.97301,195.95102,97.97551,8,154318
101,0,0,0,40.85724,0,1.75619,163.42895,81.71447,8,154319
102,0,0,0,44.14951,0,1.84399,176.59802,88.29901,8,154320
103,0,0,0,32.41207,0,1.53099,129.64827,64.82413,8,154321
104,0,0,0,37.53678,0,1.66765,150.14712,75.07356,8,154322
105,0,0,0,49.60319,0,1.98942,198.41277,99.20638,8,154325
106,0,0,0,44.10171,0,1.84271,176.40684,88.20342,8,154330
107,0,0,0,45.75647,0,1.88684,183.02588,91.51294,8,154332
108,0,0,0,30.94113,0,1.49176,123.76454,61.88227,8,154334
109,0,0,0,46.54757,0,1.90794,186.19029,93.09515,8,154335
110,0,0,0,38.19959,0,1.68532,152.79836,76.39918,8,154336
111,0,0,0,25.56671,0,1.34845,102.26685,51.13343,8,154337
112,0,0,0,20.62724,0,1.21673,82.50895,41.25447,8,154338
113,0,0,0,37.79622,0,1.67457,151.1849,75.59245,8,154339
114,0,0,0,13.20444,0,1.01879,52.81777,26.40889,8,154340
115,0,0,0,20.5476,0,1.2146,82.19039,41.0952,8,154341
116,0,0,0,29.24433,0,1.44652,116.97731,58.48865,8,154342
117,0,0,0,14.39854,0,1.05063,57.59417,28.79708,8,154343
118,0,0,0,39.12027,0,1.70987,156.48109,78.24055,8,154344
119,0,0,0,14.08446,0,1.04225,56.33783,28.16891,8,154346
120,0,0,0,45.47728,0,1.87939,181.90912,90.95456,8,154347
121,0,0,0,48.60808,0,1.96288,194.4323,97.21615,8,154348
122,0,0,0,48.1908,0,1.95175,192.76321,96.3816,8,154349
123,0,0,0,29.44656,0,1.45191,117.78624,58.89312,4,154350
124,0,0,0,15.75719,0,1.08686,63.02877,31.51439,4,154353
125,0,0,0,34.47502,0,1.586,137.90008,68.95004,4,154356
126,0,0,0,26.34389,0,1.36917,105.37556,52.68778,4,154359
127,0,0,0,41.74881,0,1.77997,166.99523,83.49761,4,154361
128,0,0,0,43.79797,0,1.83461,175.1919,87.59595,4,154362
129,0,0,0,39.57128,0,1.7219,158.28513,79.14257,6,154363
130,0,0,0,24.26391,0,1.3137,97.05564,48.52782,6,154364
131,0,0,0,20.47512,0,1.21267,81.90048,40.95024,4,154365
132,0,0,0,26.61988,0,1.37653,106.47953,53.23976,5,154366
133,0,0,0,30.02102,0,1.46723,120.08408,60.04204,4,154367
134,0,0,0,17.79312,0,1.14115,71.17247,35.58623,5,154368
135,0,0,0,37.33266,0,1.6622,149.33063,74.66532,4,154369
136,0,0,0,49.95942,0,1.99892,199.83769,99.91885,4,154371
137,0,0,0,45.73694,0,1.88632,182.94777,91.47388,8,154372
138,0,0,0,18.28382,0,1.15424,73.13529,36.56764,4,154373
139,0,0,0,29.97889,0,1.4661,119.91557,59.95778,4,154375
140,0,0,0,27.04766,0,1.38794,108.19063,54.09531,4,154377
141,0,0,0,46.25403,0,1.90011,185.01612,92.50806,4,154378
142,0,0,0,43.99458,0,1.83986,175.97831,87.98916,4,154380
143,0,0,0,29.74277,0,1.45981,118.97109,59.48554,4,154382
144,0,0,0,15.81532,0,1.08841,63.26126,31.63063,4,154384
145,0,0,0,44.5895,0,1.85572,178.35801,89.17901,4,154386
146,0,0,0,48.62279,0,1.96327,194.49118,97.24559,4,154388
147,0,0,0,14.03809,0,1.04102,56.15234,28.07617,4,154390
148,0,0,0,17.64833,0,1.13729,70.59333,35.29667,4,154391
149,0,0,0,20.79604,0,1.22123,83.18416,41.59208,4,154392
150,0,0,0,15.28249,0,1.0742,61.12996,30.56498,4,154394
151,0,0,0,24.64846,0,1.32396,98.59382,49.29691,4,154395
152,0,0,0,14.06394,0,1.0417,56.25574,28.12787,4,154397
153,0,0,0,29.03359,0,1.4409,116.13434,58.06717,7,154400
154,0,0,0,46.98955,0,1.91972,187.95821,93.9791,7,154405
155,0,0,0,44.43315,0,1.85155,177.73259,88.86629,7,154407
156,0,0,0,35.21423,0,1.60571,140.8569,70.42845,7,154410
157,0,0,0,22.64192,0,1.27045,90.56767,45.28383,7,154411
158,0,0,0,28.55901,0,1.42824,114.23605,57.11802,7,154412
159,0,0,0,23.59589,0,1.29589,94.38358,47.19179,7,154413
160,0,0,0,37.4384,0,1.66502,149.75359,74.87679,7,154414
161,0,0,0,29.68562,0,1.45828,118.74248,59.37124,7,154415
162,0,0,0,21.96072,0,1.25229,87.8429,43.92145,7,154416
163,0,0,0,38.84353,0,1.70249,155.37412,77.68706,7,154417
164,0,0,0,23.47153,0,1.29257,93.8861,46.94305,7,154418
165,0,0,0,20.3079,0,1.20821,81.2316,40.6158,7,154419
166,0,0,0,34.88368,0,1.5969,139.53471,69.76735,7,154420
